Name;Age;Nationality;CC;Overall;Value (EUR);Wage per week (EUR);Preferred Foot;Position;Field
N. Leemhuis;20;Netherlands;NLD;57;150000;1000;Right;CM;Midfield
J. Tabinas;19;Philippines;PHL;57;150000;1000;Left;LB;Defense
R. Donelon;22;Republic of Ireland;IRL;57;150000;1000;Left;LB;Defense
A. Samuel;22;Wales;GBR;57;150000;1000;Right;ST;Attack
N. Cadden;21;Scotland;GBR;57;150000;1000;Left;RM;Midfield
B. Chibani;19;Belgium;BEL;57;150000;1000;Left;CM;Midfield
T. Ogiwara;18;Japan;JPN;57;150000;1000;Left;LB;Defense
M. Miller;22;England;GBR;57;150000;1000;Right;RM;Midfield
O. Johansson;23;Sweden;SWE;57;150000;1000;Right;LM;Midfield
P. Sander;20;Germany;DEU;57;150000;1000;Right;LM;Midfield
J. Mashart;18;Netherlands;NLD;57;150000;1000;Left;LB;Defense
C. Evans;22;England;GBR;57;150000;1000;Left;CM;Midfield
J. Hernandez;22;Mexico;MEX;57;150000;1000;Right;CAM;Midfield
G. Berggren;20;Sweden;SWE;57;150000;1000;Right;CM;Midfield
E. Kastrati;21;Albania;ALB;57;150000;1000;Right;GK;Defense
K. Oldenburger;22;Netherlands;NLD;57;150000;1000;Right;RM;Midfield
K. Wootton;21;England;GBR;57;150000;1000;Right;ST;Attack
B. Alférez;20;Argentina;ARG;57;150000;1000;Left;CB;Defense
M. Soumaré;20;France;FRA;57;140000;1000;Right;RB;Defense
O. Patiño;21;Colombia;COL;57;140000;1000;Right;GK;Defense
J. Arboleda;23;Colombia;COL;57;140000;1000;Right;RM;Midfield
E. Bird;25;United States;USA;57;140000;1000;Right;CM;Midfield
N. Araya;19;Chile;CHL;57;140000;1000;Right;GK;Defense
K. Sheppard;24;England;GBR;57;140000;1000;Left;ST;Attack
B. Avramovic;20;Serbia;SRB;57;140000;1000;Left;LB;Defense
I. Jönsson;19;Sweden;SWE;57;140000;1000;Right;RCB;Defense
O. Özdemir;20;Turkey;TUR;57;140000;1000;Right;RB;Defense
D. O'Connor;21;Republic of Ireland;IRL;57;140000;1000;Right;RM;Midfield
D. Williams;24;Germany;DEU;57;140000;1000;Right;ST;Attack
Zeng Shuai;24;China PR;CHN;57;140000;1000;Right;CB;Defense
R. Laryea;23;Canada;CAN;57;140000;1000;Right;RM;Midfield
M. Köbbing;21;Germany;DEU;57;140000;1000;Right;GK;Defense
A. Alibekov;20;Ukraine;UKR;57;140000;1000;Right;CDM;Midfield
N. Lemaître;21;France;FRA;57;140000;1000;Right;GK;Defense
F. Zorba;20;Turkey;TUR;57;140000;1000;Left;LB;Defense
T. Blackmon;21;United States;USA;57;140000;1000;Right;RB;Defense
Lee Gyu Seong;24;Korea Republic;KOR;57;140000;1000;Right;CAM;Midfield
J. Adelson;22;Australia;AUS;57;140000;1000;Right;RB;Defense
A. Ordagić;25;Bosnia Herzegovina;MKD;57;140000;1000;Right;CM;Midfield
C. Libertiaux;20;Belgium;BEL;57;140000;1000;Right;GK;Defense
M. Millar;21;Australia;AUS;57;140000;1000;Right;RWB;Defense
N. Helmbrecht;23;Germany;DEU;57;140000;1000;Right;RM;Midfield
T. Mizutani;22;Japan;JPN;57;140000;1000;Right;RM;Midfield
K. Kovačević;23;Croatia;HRV;57;140000;1000;Right;ST;Attack
L. Gordon;22;Scotland;GBR;57;140000;1000;Right;CB;Defense
R. Lloyd;24;England;GBR;57;140000;1000;Left;LM;Midfield
E. Palacios;21;Colombia;COL;57;140000;1000;Right;RB;Defense
A. Campbell;23;England;GBR;57;140000;1000;Right;RM;Midfield
K. Engbers;18;Netherlands;NLD;57;140000;1000;Right;CB;Defense
I. Shinozuka;23;Russia;RUS;57;140000;1000;Right;RM;Midfield
C. Crane;22;Scotland;GBR;57;140000;1000;Left;LB;Defense
S. Shotton;17;England;GBR;57;140000;1000;Right;CB;Defense
M. Tokida;20;Japan;JPN;57;130000;1000;Left;CB;Defense
V. Vanbaleghem;21;France;FRA;57;130000;1000;Right;CM;Midfield
Kim Min Jun;25;Korea Republic;KOR;57;130000;1000;Right;CM;Midfield
E. Masciangelo;21;Italy;ITA;57;130000;1000;Left;LB;Defense
R. Rosenqvist;21;Sweden;SWE;57;130000;1000;Right;CM;Midfield
A. Simpson;19;England;GBR;57;130000;1000;Left;LB;Defense
F. Kelleher;22;Republic of Ireland;IRL;57;130000;1000;Right;RCB;Defense
T. Trueba;22;Mexico;MEX;57;130000;1000;Left;GK;Defense
E. Ngwatala;25;France;FRA;57;130000;1000;Right;LM;Midfield
M. Sipľak;22;Slovakia;SVK;57;130000;1000;Left;LB;Defense
L. Thomas;20;Wales;GBR;57;130000;1000;Right;GK;Defense
N. Giraldo;25;Colombia;COL;57;130000;1000;Right;LB;Defense
J. Krasniqi;23;Kosovo;MKD;57;130000;1000;Right;RB;Defense
V. Karakuş;20;Turkey;TUR;57;130000;1000;Right;GK;Defense
J. Vom Steeg;21;United States;USA;57;130000;1000;Right;GK;Defense
H. Pritchard;25;England;GBR;57;130000;1000;Left;LM;Midfield
G. Gbellé;25;France;FRA;57;130000;1000;Right;CM;Midfield
J. Senior;21;England;GBR;57;120000;1000;Left;LB;Defense
J. Bursztyn;20;Poland;POL;57;120000;1000;Right;GK;Defense
O. Ottesen;19;Denmark;DNK;57;120000;1000;Right;GK;Defense
Choi Young Eun;22;Korea Republic;KOR;57;120000;1000;Right;GK;Defense
R. Takahashi;24;Japan;JPN;57;120000;1000;Left;LB;Defense
L. Brüggemeier;20;Germany;DEU;57;120000;1000;Right;GK;Defense
J. Eastwood;21;England;GBR;57;120000;1000;Right;GK;Defense
C. Norman;22;England;GBR;57;120000;1000;Right;RB;Defense
A. Bayındır;20;Turkey;TUR;57;120000;1000;Right;GK;Defense
I. Jasarevic;22;Bosnia Herzegovina;MKD;57;120000;1000;Left;LB;Defense
M. Radecki;25;Poland;POL;57;120000;1000;Right;CM;Midfield
S. Pabón;22;Colombia;COL;57;110000;1000;Right;GK;Defense
N. Insfrán;23;Argentina;ARG;57;110000;1000;Right;GK;Defense
G. Volpe;22;Italy;ITA;57;110000;1000;Right;GK;Defense
F. Sollacaro;24;France;FRA;57;110000;1000;Right;GK;Defense
Wang Yaopeng;23;China PR;CHN;57;110000;1000;Right;LCB;Defense
J. Vall;25;Sweden;SWE;57;110000;1000;Left;LWB;Defense
K. Lynch;26;Republic of Ireland;IRL;57;110000;1000;Left;LWB;Defense
M. Ranmark;22;Norway;NOR;57;110000;1000;Left;GK;Defense
M. Lenes;22;Norway;NOR;57;110000;1000;Right;GK;Defense
A. Campion;28;France;FRA;57;110000;1000;Right;ST;Attack
A. Wolniewicz;25;Poland;POL;57;110000;1000;Right;RB;Defense
C. Fogacci;21;France;FRA;57;110000;1000;Right;GK;Defense
M. Lansing;24;United States;USA;57;110000;1000;Right;GK;Defense
H. Douglas;25;Republic of Ireland;IRL;57;110000;1000;Right;CB;Defense
J. Sullivan;27;Republic of Ireland;IRL;57;100000;1000;Right;LCM;Midfield
P. O'Conor;30;Republic of Ireland;IRL;57;100000;1000;Right;RCM;Midfield
J. Rondeel;23;Netherlands;NLD;57;100000;1000;Right;GK;Defense
J. Montgomery;24;England;GBR;57;100000;1000;Right;GK;Defense
R. Suzuki;24;Japan;JPN;57;100000;1000;Right;GK;Defense
Chen Anqi;25;China PR;CHN;57;100000;1000;Right;GK;Defense
M. Wasielewski;24;Poland;POL;57;100000;1000;Right;RB;Defense
C. Brown;26;United States;USA;57;100000;1000;Right;GK;Defense
O. Tejeda;29;Mexico;MEX;57;100000;1000;Left;LM;Midfield
E. Sivertsen;27;Norway;NOR;57;100000;1000;Left;LB;Defense
C. Mafoumbi;24;Congo;COG;57;100000;1000;Right;GK;Defense
H. Pernía;27;Venezuela;VEN;57;100000;1000;Right;CB;Defense
R. Noda;29;Japan;JPN;57;100000;1000;Right;RM;Midfield
I. Turner;29;Republic of Ireland;IRL;57;100000;1000;Right;RM;Midfield
S. Dieng;23;Switzerland;CHE;57;100000;1000;Right;GK;Defense
D. Lyness;26;England;GBR;57;90000;1000;Right;GK;Defense
M. Herrera;30;Colombia;COL;57;80000;1000;Right;CB;Defense
M. Halstead;27;England;GBR;57;80000;1000;Right;GK;Defense
C. Gallego;29;Colombia;COL;57;80000;1000;Left;LB;Defense
J. Jensen;32;Denmark;DNK;57;60000;1000;Right;GK;Defense
C. Kenna;33;Republic of Ireland;IRL;57;40000;1000;Left;RCB;Defense
R. Cretaro;36;Republic of Ireland;IRL;57;40000;1000;Right;ST;Attack
J. Meneses;34;Colombia;COL;57;40000;1000;Right;GK;Defense
K. Ellison;39;England;GBR;57;30000;1000;Left;LM;Midfield
C. Weale;36;England;GBR;57;10000;1000;Left;GK;Defense
K. Kitamoto;36;Japan;JPN;57;10000;1000;Right;CB;Defense
A. Al Basisi;40;Saudi Arabia;SAU;57;10000;1000;Right;GK;Defense
K. Stamatopoulos;38;Canada;CAN;57;10000;1000;Left;GK;Defense
M. Berisha;20;Kosovo;MKD;56;200000;4000;Right;CF;Attack
F. Baptiste;18;England;GBR;56;190000;4000;Right;ST;Attack
T. O'Neill;18;England;GBR;56;190000;4000;Right;ST;Attack
O. O'Dwyer;20;England;GBR;56;160000;4000;Right;CB;Defense
F. Al Rashidi;21;Saudi Arabia;SAU;56;140000;4000;Right;RM;Midfield
M. Harris;19;Wales;GBR;56;200000;3000;Right;ST;Attack
C. Lang;19;England;GBR;56;190000;3000;Right;RM;Midfield
J. Lokilo;19;DR Congo;CIV;56;190000;3000;Left;RM;Midfield
T. Francois;17;Australia;AUS;56;180000;3000;Left;CAM;Midfield
R. Giles;18;England;GBR;56;170000;3000;Left;LWB;Defense
M. Al Hamad;19;Saudi Arabia;SAU;56;160000;3000;Right;ST;Attack
S. Alzate;19;England;GBR;56;160000;3000;Right;LCM;Midfield
H. Salem;20;Saudi Arabia;SAU;56;140000;3000;Left;LB;Defense
F. Abo Bakr;21;Saudi Arabia;SAU;56;140000;3000;Left;CB;Defense
L. Hardcastle;19;England;GBR;56;130000;3000;Right;CM;Midfield
T. Chakwana;19;England;GBR;56;130000;3000;Right;RM;Midfield
M. Blair;18;England;GBR;56;130000;3000;Right;LM;Midfield
O. Evans;21;Wales;GBR;56;130000;3000;Right;GK;Defense
A. Al Arishi;23;Saudi Arabia;SAU;56;120000;3000;Right;CB;Defense
M. Tapias;21;Mexico;MEX;56;120000;3000;Right;CB;Defense
Joan Luque;26;Spain;ESP;56;110000;3000;Right;LM;Midfield
J. Al Dossary;24;Saudi Arabia;SAU;56;100000;3000;Right;LB;Defense
A. Koiki;18;England;GBR;56;100000;3000;Left;LB;Defense
O. Al Suhaymi;25;Saudi Arabia;SAU;56;90000;3000;Left;CDM;Midfield
Lü Peng;28;China PR;CHN;56;90000;3000;Right;CM;Midfield
A. Medina;20;Mexico;MEX;56;200000;2000;Right;CM;Midfield
H. Al Yami;19;Saudi Arabia;SAU;56;200000;2000;Right;ST;Attack
A. Ávila;20;Mexico;MEX;56;200000;2000;Right;LM;Midfield
S. Giménez;17;Mexico;MEX;56;200000;2000;Right;ST;Attack
A. Jakupović;20;Austria;AUT;56;200000;2000;Left;ST;Attack
K. Ichimi;20;Japan;JPN;56;200000;2000;Right;ST;Attack
L. Gelzleichter;18;Germany;DEU;56;190000;2000;Right;ST;Attack
N. Al Harthi;19;Saudi Arabia;SAU;56;190000;2000;Left;RM;Midfield
Philippe;18;Brazil;BRA;56;190000;2000;Right;RS;Attack
J. Pérez;18;Mexico;MEX;56;190000;2000;Right;ST;Attack
T. Hamilton;19;England;GBR;56;190000;2000;Left;LM;Midfield
C. Carroll;19;Republic of Ireland;IRL;56;180000;2000;Right;CB;Defense
H. Tombakti;19;Saudi Arabia;SAU;56;180000;2000;Right;CB;Defense
K. Watts;18;England;GBR;56;170000;2000;Left;CB;Defense
L. Grabovac;20;Austria;AUT;56;170000;2000;Right;LW;Attack
S. Ali Yahya;19;Saudi Arabia;SAU;56;170000;2000;Right;RB;Defense
O. Al Owdah;19;Saudi Arabia;SAU;56;170000;2000;Right;RB;Defense
N. Abdali;20;Saudi Arabia;SAU;56;160000;2000;Right;ST;Attack
R. Hoffmann;19;Germany;DEU;56;160000;2000;Right;GK;Defense
L. Robles;21;England;GBR;56;160000;2000;Right;ST;Attack
M. Bulka;18;Poland;POL;56;150000;2000;Right;GK;Defense
L. Seydoux;20;Switzerland;CHE;56;140000;2000;Right;RB;Defense
Y. Ben El-Mhanni;22;England;GBR;56;140000;2000;Right;LM;Midfield
O. Yilmaz;20;Austria;AUT;56;140000;2000;Right;ST;Attack
Z. Al Haniti;22;Saudi Arabia;SAU;56;140000;2000;Right;CB;Defense
R. Wintle;21;England;GBR;56;140000;2000;Right;LCM;Midfield
Wang Ziming;21;China PR;CHN;56;140000;2000;Right;ST;Attack
Pedrosa;21;Spain;ESP;56;140000;2000;Right;ST;Attack
M. Wohlgemuth;23;Denmark;DNK;56;140000;2000;Right;CM;Midfield
K. Fatkic;20;Slovenia;SVN;56;140000;2000;Left;CAM;Midfield
Yang Wanshun;22;China PR;CHN;56;140000;2000;Right;LW;Attack
D. López;18;Mexico;MEX;56;140000;2000;Right;ST;Attack
F. Domínguez;20;Uruguay;URY;56;140000;2000;Right;CM;Midfield
Gao Tianyi;20;China PR;CHN;56;130000;2000;Right;CDM;Midfield
A. Hinds;18;England;GBR;56;130000;2000;Left;LB;Defense
Liu Yang;23;China PR;CHN;56;130000;2000;Right;LM;Midfield
O. Şahin;20;Turkey;TUR;56;130000;2000;Left;LM;Midfield
J. Ball;22;England;GBR;56;130000;2000;Right;CM;Midfield
Li Siqi;20;China PR;CHN;56;130000;2000;Right;CM;Midfield
Yang Liyu;21;China PR;CHN;56;130000;2000;Right;RM;Midfield
W. Altamirano;20;Argentina;ARG;56;130000;2000;Right;CM;Midfield
H. Cardwell;21;Scotland;GBR;56;130000;2000;Right;ST;Attack
O. Malcı;22;Turkey;TUR;56;120000;2000;Right;CDM;Midfield
G. Kımışır;20;Turkey;TUR;56;120000;2000;Right;CB;Defense
R. Watson;24;England;GBR;56;120000;2000;Right;CM;Midfield
S. Farsak;20;Turkey;TUR;56;120000;2000;Right;CDM;Midfield
P. Lewis;23;England;GBR;56;120000;2000;Right;CM;Midfield
Liu Heng;22;China PR;CHN;56;120000;2000;Right;CB;Defense
Liu Hao;22;China PR;CHN;56;120000;2000;Right;RM;Midfield
Wei Zhen;21;China PR;CHN;56;120000;2000;Right;CB;Defense
Yang Fan;22;China PR;CHN;56;120000;2000;Right;RB;Defense
A. Al Enazi;21;Saudi Arabia;SAU;56;120000;2000;Right;RB;Defense
Xu Yougang;22;China PR;CHN;56;120000;2000;Right;RB;Defense
J. Simonsen;22;Denmark;DNK;56;110000;2000;Right;RB;Defense
Marc Vito;21;Spain;ESP;56;110000;2000;Right;GK;Defense
A. Cvetkovic;23;Serbia;SRB;56;110000;2000;Right;RB;Defense
T. Vermot;21;France;FRA;56;110000;2000;Right;GK;Defense
H. Al Watyan;21;Saudi Arabia;SAU;56;110000;2000;Right;GK;Defense
S. Tağa;26;Turkey;TUR;56;110000;2000;Left;CM;Midfield
A. Cháves;26;Argentina;ARG;56;110000;2000;Right;CM;Midfield
Long Wei;23;China PR;CHN;56;110000;2000;Right;CB;Defense
C. Cooper;21;England;GBR;56;110000;2000;Right;CM;Midfield
B. Daniels;24;England;GBR;56;110000;2000;Left;LM;Midfield
N. Marfelt;23;Denmark;DNK;56;110000;2000;Left;LB;Defense
Sun Guowen;24;China PR;CHN;56;110000;2000;Left;LM;Midfield
A. Al Bahri;23;Saudi Arabia;SAU;56;100000;2000;Right;GK;Defense
Peng Rui;24;China PR;CHN;56;100000;2000;Left;LB;Defense
Zhou Qiming;23;China PR;CHN;56;100000;2000;Right;RB;Defense
J. Bennett;22;England;GBR;56;100000;2000;Right;RWB;Defense
A. Høvenhoff;28;Denmark;DNK;56;90000;2000;Right;CM;Midfield
Yang Ke;29;China PR;CHN;56;90000;2000;Right;RM;Midfield
Zhu Xiaogang;30;China PR;CHN;56;70000;2000;Right;CDM;Midfield
Jeong Chee In;20;Korea Republic;KOR;56;200000;1000;Right;LW;Attack
J. Lennon;20;Republic of Ireland;IRL;56;200000;1000;Right;LDM;Midfield
C. Goslin;18;United States;USA;56;200000;1000;Right;CM;Midfield
S. Grønli;17;Norway;NOR;56;200000;1000;Right;CF;Attack
D. Takahashi;19;Japan;JPN;56;200000;1000;Left;ST;Attack
J. Hallam;19;England;GBR;56;200000;1000;Right;ST;Attack
J. Ponticelli;19;England;GBR;56;200000;1000;Right;ST;Attack
I. Koné;19;Mali;MLI;56;200000;1000;Left;ST;Attack
S. Abifade;18;Germany;DEU;56;200000;1000;Left;LW;Attack
R. Harvey;18;England;GBR;56;190000;1000;Right;RM;Midfield
D. Mushitu;18;Sweden;SWE;56;190000;1000;Right;ST;Attack
M. Guel;19;Ivory Coast;CIV;56;190000;1000;Right;RW;Attack
M. Pedersen;18;Norway;NOR;56;190000;1000;Right;RM;Midfield
S. McWilliams;19;England;GBR;56;190000;1000;Right;RB;Defense
H. St Clair;19;Scotland;GBR;56;190000;1000;Right;LW;Attack
H. Bellman;19;Sweden;SWE;56;190000;1000;Right;LM;Midfield
C. MacPherson;19;Scotland;GBR;56;190000;1000;Right;CM;Midfield
J. Castillo;19;Chile;CHL;56;190000;1000;Left;LW;Attack
M. Castaño;19;Colombia;COL;56;190000;1000;Right;CAM;Midfield
E. Crona;18;Sweden;SWE;56;190000;1000;Right;ST;Attack
S. Kulenović;18;Croatia;HRV;56;190000;1000;Right;ST;Attack
S. Mallon;19;Republic of Ireland;IRL;56;190000;1000;Left;LM;Midfield
D. van Kaam;18;Netherlands;NLD;56;190000;1000;Right;CAM;Midfield
A. Hellborg;19;Sweden;SWE;56;190000;1000;Right;CM;Midfield
R. Correa;18;Colombia;COL;56;190000;1000;Right;RM;Midfield
K. Cabral;18;France;FRA;56;190000;1000;Right;LM;Midfield
E. Chilufya;18;Zambia;ZMB;56;190000;1000;Right;ST;Attack
Ko Jae Hyun;19;Korea Republic;KOR;56;190000;1000;Right;RM;Midfield
S. Janssen;17;Netherlands;NLD;56;180000;1000;Right;CM;Midfield
D. Baur;19;Scotland;GBR;56;180000;1000;Left;CB;Defense
T. Roberts;17;United States;USA;56;180000;1000;Left;CAM;Midfield
J. Stenmark;19;Sweden;SWE;56;180000;1000;Right;CB;Defense
C. Tovar;20;Colombia;COL;56;180000;1000;Right;CB;Defense
A. Nsakala;18;France;FRA;56;180000;1000;Right;RB;Defense
J. Hove;17;Norway;NOR;56;180000;1000;Right;CM;Midfield
T. Makowski;18;Poland;POL;56;180000;1000;Right;CM;Midfield
N. Pejović;19;Serbia;SRB;56;180000;1000;Right;CB;Defense
F. Becker;18;Germany;DEU;56;180000;1000;Left;CM;Midfield
I. Sauter;17;Switzerland;CHE;56;180000;1000;Left;CB;Defense
J. Fischer;18;Netherlands;NLD;56;180000;1000;Right;CM;Midfield
M. Shinada;18;Japan;JPN;56;180000;1000;Right;CM;Midfield
J. Thompson;19;England;GBR;56;180000;1000;Right;CB;Defense
H. Finndell;18;Sweden;SWE;56;180000;1000;Right;CM;Midfield
E. Maulana Vikri;17;Indonesia;IDN;56;180000;1000;Left;CAM;Midfield
I. Cameron;17;Scotland;GBR;56;180000;1000;Right;CF;Attack
P. Bird;19;Northern Ireland;IRL;56;180000;1000;Right;CB;Defense
Y. Avcılar;19;Turkey;TUR;56;180000;1000;Right;CB;Defense
S. Nakagawa;19;Japan;JPN;56;180000;1000;Right;CB;Defense
M. Żyro;19;Poland;POL;56;180000;1000;Right;CB;Defense
S. Want;21;Scotland;GBR;56;180000;1000;Right;CB;Defense
J. Nieva;19;Colombia;COL;56;180000;1000;Right;CDM;Midfield
B. Nygren;16;Sweden;SWE;56;180000;1000;Left;ST;Attack
K. Rowles;20;Australia;AUS;56;180000;1000;Left;LWB;Defense
C. Lokoli-Ngoy;21;Australia;AUS;56;180000;1000;Right;ST;Attack
M. Śliwa;17;Poland;POL;56;180000;1000;Right;CAM;Midfield
B. Delihasan;19;Turkey;TUR;56;180000;1000;Right;CDM;Midfield
O. Kensdale;18;England;GBR;56;170000;1000;Right;CB;Defense
A. Koldere;18;Turkey;TUR;56;170000;1000;Left;LB;Defense
J. Williams;18;England;GBR;56;170000;1000;Right;RB;Defense
J. Valdeblánquez;20;Colombia;COL;56;170000;1000;Right;RM;Midfield
M. Sopoćko;19;Poland;POL;56;170000;1000;Right;CAM;Midfield
D. Pierias;18;Australia;AUS;56;170000;1000;Right;RB;Defense
E. Sandberg;18;Norway;NOR;56;170000;1000;Right;CB;Defense
A. Majok;19;Kenya;KEN;56;170000;1000;Right;ST;Attack
A. Hoven;20;Norway;NOR;56;170000;1000;Right;RM;Midfield
M. Steinwender;18;Austria;AUT;56;170000;1000;Right;CB;Defense
H. Wilder;18;England;GBR;56;170000;1000;Left;LB;Defense
H. Clifton;20;England;GBR;56;160000;1000;Right;LCM;Midfield
M. Parada;20;Chile;CHL;56;160000;1000;Right;CAM;Midfield
Jo Yong Jae;20;Korea Republic;KOR;56;160000;1000;Right;RW;Attack
M. Catenacci;17;Sweden;SWE;56;160000;1000;Right;RB;Defense
M. Layer;19;Germany;DEU;56;160000;1000;Right;GK;Defense
N. Anhölcher;18;Germany;DEU;56;160000;1000;Right;ST;Attack
Javito;17;Spain;ESP;56;160000;1000;Right;RB;Defense
W. Jakkit;21;Thailand;THA;56;160000;1000;Right;RM;Midfield
J. Brown;20;England;GBR;56;160000;1000;Right;RM;Midfield
L. Ureta;19;Chile;CHL;56;160000;1000;Right;GK;Defense
S. Sohm;17;Switzerland;CHE;56;160000;1000;Right;CDM;Midfield
T. Tanaka;20;Japan;JPN;56;160000;1000;Right;CM;Midfield
A. Hudu;18;Ghana;GHA;56;160000;1000;Right;CM;Midfield
I. Pearce;19;England;GBR;56;160000;1000;Right;ST;Attack
S. Brolin;17;Sweden;SWE;56;160000;1000;Right;GK;Defense
F. Espinoza;20;Chile;CHL;56;160000;1000;Right;ST;Attack
M. Miño;20;Argentina;ARG;56;160000;1000;Right;GK;Defense
R. Batlokwa;20;Botswana;BWA;56;160000;1000;Right;CM;Midfield
A. Thurgate;18;Australia;AUS;56;160000;1000;Right;CM;Midfield
M. Vantruba;20;Slovakia;SVK;56;160000;1000;Right;GK;Defense
D. Puster;19;Austria;AUT;56;160000;1000;Right;RM;Midfield
L. Gibbens;17;England;GBR;56;160000;1000;Left;CB;Defense
J. Pourtau;18;Argentina;ARG;56;150000;1000;Right;GK;Defense
J. McDonagh;22;Northern Ireland;IRL;56;150000;1000;Right;RM;Midfield
D. Stynes;19;Australia;AUS;56;150000;1000;Right;CAM;Midfield
H. Duman;19;Norway;NOR;56;150000;1000;Right;CM;Midfield
B. Stephens;20;England;GBR;56;150000;1000;Right;CAM;Midfield
Álvaro Gómez;21;Spain;ESP;56;150000;1000;Right;CM;Midfield
Darío Ramos;18;Spain;ESP;56;150000;1000;Right;GK;Defense
I. Samba;20;France;FRA;56;150000;1000;Right;RB;Defense
F. Myhre;19;Norway;NOR;56;150000;1000;Right;CDM;Midfield
J. Ceesay;20;Sweden;SWE;56;150000;1000;Right;RM;Midfield
C. Ellis;21;Republic of Ireland;IRL;56;150000;1000;Right;ST;Attack
R. Majecki;18;Poland;POL;56;150000;1000;Right;GK;Defense
J. Medina;20;Mexico;MEX;56;150000;1000;Right;CM;Midfield
F. Fischerauer;19;Austria;AUT;56;150000;1000;Right;CM;Midfield
O. Solbakken;19;Norway;NOR;56;150000;1000;Left;RW;Attack
L. Ashby-Hammond;17;England;GBR;56;150000;1000;Right;GK;Defense
S. Pedersen;19;Norway;NOR;56;150000;1000;Left;ST;Attack
O. Ünlüçifçi;21;Germany;DEU;56;150000;1000;Left;RM;Midfield
C. Zuvela;21;Australia;AUS;56;150000;1000;Right;CM;Midfield
D. Breitfelder;21;Germany;DEU;56;150000;1000;Right;ST;Attack
E. Bijlsma;19;Netherlands;NLD;56;150000;1000;Right;CM;Midfield
R. Vinderslev;20;Denmark;DNK;56;150000;1000;Right;CM;Midfield
K. Henry;18;England;GBR;56;150000;1000;Right;ST;Attack
I. Olaofe;18;England;GBR;56;150000;1000;Right;ST;Attack
J. McMillan;20;Scotland;GBR;56;140000;1000;Right;LB;Defense
T. Heward-Belle;21;Australia;AUS;56;140000;1000;Right;GK;Defense
D. Mena;21;Colombia;COL;56;140000;1000;Right;RM;Midfield
R. Feely;21;Republic of Ireland;IRL;56;140000;1000;Right;RCB;Defense
C. Rojas;20;Colombia;COL;56;140000;1000;Right;ST;Attack
C. Sickinger;20;Germany;DEU;56;140000;1000;Right;CDM;Midfield
R. Deprem;20;Sweden;SWE;56;140000;1000;Right;LW;Attack
M. Idzik;21;Poland;POL;56;140000;1000;Right;ST;Attack
C. Núñez;20;Paraguay;PRY;56;140000;1000;Right;CDM;Midfield
S. Bojang;20;Norway;NOR;56;140000;1000;Right;RB;Defense
A. Koljic;19;Germany;DEU;56;140000;1000;Left;LB;Defense
W. Fitzgerald;19;Republic of Ireland;IRL;56;140000;1000;Right;LM;Midfield
I. Ünal;20;Turkey;TUR;56;140000;1000;Right;GK;Defense
M. Stajduhar;20;United States;USA;56;140000;1000;Right;GK;Defense
H. Herrera;20;Chile;CHL;56;140000;1000;Right;CM;Midfield
C. O'Toole;20;Australia;AUS;56;140000;1000;Left;LB;Defense
D. Daly;20;Republic of Ireland;IRL;56;140000;1000;Left;LB;Defense
G. Vetti;19;Norway;NOR;56;140000;1000;Right;CM;Midfield
A. Nurudeen;19;Ghana;GHA;56;140000;1000;Right;GK;Defense
N. Rodes;20;Belgium;BEL;56;140000;1000;Right;CDM;Midfield
R. Ferguson;20;Scotland;GBR;56;140000;1000;Right;GK;Defense
N. Vitré;20;France;FRA;56;140000;1000;Right;CB;Defense
P. Sánchez;20;Chile;CHL;56;130000;1000;Right;CM;Midfield
J. Ferry;21;England;GBR;56;130000;1000;Right;CM;Midfield
M. Grundmann;20;Germany;DEU;56;130000;1000;Right;CB;Defense
S. Amin;20;Syria;SYR;56;130000;1000;Right;CM;Midfield
T. Deters;22;Germany;DEU;56;130000;1000;Right;CM;Midfield
R. Escobar;21;Chile;CHL;56;130000;1000;Right;ST;Attack
M. Ogkmpoe;23;Greece;GRC;56;130000;1000;Right;ST;Attack
G. Pender;24;Republic of Ireland;IRL;56;130000;1000;Right;LS;Attack
J. Olufsen;22;Norway;NOR;56;130000;1000;Left;LW;Attack
K. Suzuki;22;Japan;JPN;56;130000;1000;Right;ST;Attack
D. Ingham;19;New Zealand;NZL;56;130000;1000;Right;RB;Defense
D. Kaneko;19;Japan;JPN;56;130000;1000;Right;RCM;Midfield
R. Ito;20;Japan;JPN;56;130000;1000;Right;LM;Midfield
L. Davies;18;England;GBR;56;130000;1000;Right;RB;Defense
A. Ajdarević;20;Albania;ALB;56;130000;1000;Left;LW;Attack
K. Awuah;22;Canada;CAN;56;130000;1000;Left;CM;Midfield
T. Damsgaard;20;Denmark;DNK;56;130000;1000;Right;RB;Defense
Lee Hyun Sik;22;Korea Republic;KOR;56;130000;1000;Right;CM;Midfield
Y. Magnin;21;France;FRA;56;130000;1000;Right;CM;Midfield
R. Koot;18;Netherlands;NLD;56;120000;1000;Right;GK;Defense
B. Lucumí;24;Colombia;COL;56;120000;1000;Right;RM;Midfield
K. Politz;22;United States;USA;56;120000;1000;Right;CB;Defense
W. Biedrzycki;20;Poland;POL;56;120000;1000;Right;CDM;Midfield
D. Hutchinson;21;Republic of Ireland;IRL;56;120000;1000;Right;CDM;Midfield
H. Isted;21;England;GBR;56;120000;1000;Right;GK;Defense
D. Malhue;23;Chile;CHL;56;120000;1000;Right;RW;Attack
